,Location,Date,newCases,Price,Open,High,Low,Vol.,Change %
167,Canada,2020-10-02,2124,55.1,55.09,55.1,55.09,1.53K,0.00%
168,Canada,2020-10-05,2883,55.05,55.22,55.22,54.4,1.00K,-0.09%
169,Canada,2020-10-06,2372,55.9,55.9,55.9,55.9,0.14K,1.54%
170,Canada,2020-10-07,1624,54.56,55.0,56.23,54.56,0.65K,-2.40%
171,Canada,2020-10-08,2350,54.52,54.52,54.52,54.52,0.51K,-0.07%
172,Canada,2020-10-09,2895,55.52,55.52,55.52,55.52,0.18K,1.83%
173,Canada,2020-10-13,4111,55.3,55.99,55.99,55.25,0.80K,-0.40%
174,Canada,2020-10-14,2575,55.33,55.96,55.96,55.13,1.17K,0.05%
175,Canada,2020-10-15,2298,56.0,55.33,56.0,55.33,1.32K,1.21%
176,Canada,2020-10-16,2566,55.5,55.5,55.5,55.5,0.34K,-0.89%
177,Canada,2020-10-19,3307,55.9,55.99,55.99,55.26,1.97K,0.72%
178,Canada,2020-10-20,2238,55.0,55.7,55.7,55.0,0.59K,-1.61%
179,Canada,2020-10-21,2687,54.1,54.64,54.64,54.1,1.52K,-1.64%
180,Canada,2020-10-22,2581,58.26,55.81,59.89,55.81,9.21K,7.69%
181,Canada,2020-10-23,2902,59.06,60.0,61.5,59.05,2.70K,1.37%
182,Canada,2020-10-26,4099,59.3,58.99,59.45,58.27,2.28K,0.41%
183,Canada,2020-10-27,2730,58.0,59.63,59.63,58.0,0.66K,-2.19%
184,Canada,2020-10-28,2663,57.24,58.0,58.0,56.2,1.53K,-1.31%
185,Canada,2020-10-29,3017,57.0,55.69,57.0,55.69,2.08K,-0.42%
186,Canada,2020-10-30,3556,55.61,56.0,56.0,54.92,2.43K,-2.44%
187,Canada,2020-11-02,3529,56.35,56.39,56.39,55.4,2.47K,1.33%
188,Canada,2020-11-03,4738,55.78,55.97,55.97,55.39,1.18K,-1.01%
189,Canada,2020-11-04,2782,56.49,56.9,57.8,56.49,0.61K,1.27%
190,Canada,2020-11-05,2784,56.82,57.17,59.14,56.46,0.89K,0.58%
191,Canada,2020-11-06,5393,58.85,55.96,59.31,55.96,0.92K,3.57%
192,Canada,2020-11-09,4871,58.25,59.9,59.98,57.75,1.62K,-1.02%
193,Canada,2020-11-10,4445,61.59,59.0,61.59,59.0,2.82K,5.73%
194,Canada,2020-11-11,3984,62.45,61.69,62.45,61.06,3.97K,1.40%
195,Canada,2020-11-12,5474,62.75,62.75,62.75,62.75,0.37K,0.48%
196,Canada,2020-11-13,4770,62.1,62.1,62.1,62.1,0.53K,-1.04%
197,Canada,2020-11-16,6033,62.89,62.69,62.89,62.69,0.79K,1.27%
198,Canada,2020-11-17,4462,62.27,61.45,62.27,61.3,1.63K,-0.99%
199,Canada,2020-11-18,4518,63.09,61.31,63.15,61.3,0.97K,1.32%
200,Canada,2020-11-19,4794,61.75,61.75,61.75,61.75,0.43K,-2.12%
201,Canada,2020-11-20,4987,62.5,59.65,62.5,59.65,0.38K,1.21%
202,Canada,2020-11-23,6795,62.25,61.75,62.35,61.75,2.32K,-0.40%
